folder,file,relative_path,title,authors,year,status,primary_domain,bib_key,bib_status,canonical_url,verification_status,pages,word_count,figure_caption_count,table_caption_count,core_concepts,key_claims,method_or_evidence,conclusions,figures_tables_useful,limitations,crpto_value,extended_lab_value,quarto_destination,decision,action_required,evidence_gate,artifact_sink,stop_rule,implementation_or_experiment,notes,tags
paper,Albanesi Vamossy 2024 - Credit Scores Performance and Equity.pdf,paper/Albanesi Vamossy 2024 - Credit Scores Performance and Equity.pdf,Credit Scores: Performance and Equity,Stefania Albanesi; Domonkos F. Vamossy,2024,NBER working paper,credit scoring / equity,albanesi2024credit,existing,https://doi.org/10.3386/w32917,local_pdf_text,59,21439,10,30,"Score performance, equity, misclassification, rank disagreement, observable vulnerable groups.",Better scores can improve accuracy while also changing error allocation across groups.,Empirical credit-score comparison and equity diagnostics.,"Useful for metric governance: report discrimination, calibration, utility and equity together.",Use tables on score performance/equity as template for FICO proxy vs champion diagnostics.,Not Lending Club CRPTO evidence and not a legal fair-lending protocol.,Light motivation: CRPTO is not only AUC; calibrated decision inputs require governance.,Strong appendix support for score-proxy vs champion ML and equity boundary.,agenda extendida CRPTO/tesis appendix; Paper CRPTO motivation only.,append_extended_governance,completed_quarto_patch,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,credit;equity;governance
paper,Angelopoulos Bates 2023 - Gentle Introduction to Conformal Prediction.pdf,paper/Angelopoulos Bates 2023 - Gentle Introduction to Conformal Prediction.pdf,Conformal Prediction: A Gentle Introduction,Anastasios N. Angelopoulos; Stephen Bates,2023,Foundations and Trends in Machine Learning,conformal foundations,angelopoulos2023,existing,https://arxiv.org/abs/2107.07511,local_pdf_text,51,25093,28,1,"Exchangeability, split conformal, prediction sets, finite-sample marginal coverage.",Distribution-free uncertainty can be wrapped around black-box predictors.,"Tutorial/survey with proofs, examples and diagnostics.",Best pedagogical citation for explaining why CRPTO's intervals are valid before optimization.,Use tutorial figures only conceptually; the paper needs its own CRPTO diagram.,Introductory; not a portfolio optimizer or credit-risk paper.,Core theory support for the uncertainty layer.,Proof-audit reference for lab gates.,CRPTO theory and glossary.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;foundation
paper,Angelopoulos et al 2024 - Conformal Risk Control.pdf,paper/Angelopoulos et al 2024 - Conformal Risk Control.pdf,Conformal Risk Control,Anastasios N. Angelopoulos; Stephen Bates; Adam Fisch; Lihua Lei; Tal Schuster,2024,ICLR 2024,conformal risk control,angelopoulos2024risk,existing,https://openreview.net/forum?id=33XGfHLtZg,local_pdf_text,21,11236,7,0,"Risk control, monotone bounded losses, post-hoc calibration, user-defined loss.",Conformal calibration can control expected loss beyond ordinary set coverage.,Finite-sample risk-control framework.,Direct ancestor of CRPTO's funded-set weighted miscoverage framing.,Use conceptual loss-control diagrams as related-work inspiration.,Does not itself define a portfolio-funded-set bound.,Core theory support for mapping uncertainty to a decision-relevant loss.,CRC/LTT decision-loss gates for future experiments.,CRPTO theory; agenda extendida CRPTO/tesis gate register.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;risk_control
paper,Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,paper/Angelopoulos et al 2024 - Theoretical Foundations of Conformal Prediction.pdf,Theoretical Foundations of Conformal Prediction,Anastasios N. Angelopoulos; Rina Foygel Barber; Stephen Bates,2026,Cambridge University Press pre-publication / monograph,conformal foundations,angelopoulos2024foundations,existing,https://arxiv.org/abs/2411.11824,local_pdf_text,266,136226,44,1,"Exchangeability, exact finite-sample coverage, randomized quantiles, modern CP theory.","Conformal validity is a theorem about a procedure and assumptions, not a model-quality claim.",Long-form theoretical reference.,Use as the canonical proof reference for split conformal language and limitations.,"Use definitions/proof structure, not figures, in CRPTO.",Too broad for the paper body; cite selectively.,Canonical theory reference for the proof and notation.,Proof-audit anchor for future online/source claims.,CRPTO theory; glossary.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;foundation
paper,Angelopoulos et al 2025 - Learn Then Test.pdf,paper/Angelopoulos et al 2025 - Learn Then Test.pdf,Learn then Test: Calibrating Predictive Algorithms to Achieve Risk Control,Anastasios N. Angelopoulos; Stephen Bates; Emmanuel J. Candes; Michael I. Jordan; Lihua Lei,2025,Annals of Applied Statistics,risk control / post-hoc testing,angelopoulos2025ltt,existing,https://doi.org/10.1214/24-AOAS1998,local_pdf_text,22,11696,11,0,"Learn-then-test, finite-sample risk guarantees, post-hoc risk calibration.",Predictive algorithms can be calibrated after learning to satisfy risk constraints.,Statistical testing/calibration framework.,Supports predeclared gates and reviewer-safe validation language.,Use algorithmic workflow conceptually for gate diagrams.,Does not solve downstream optimization by itself.,Supports exact risk-gate language and post-selection caveats.,Lane-gate template for CRC/LTT decision-loss checks.,CRPTO theory; agenda extendida CRPTO/tesis future gate register.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;risk_control;gates
paper,Barber et al 2021 - Limits of Distribution-Free Conditional Predictive Inference.pdf,paper/Barber et al 2021 - Limits of Distribution-Free Conditional Predictive Inference.pdf,The Limits of Distribution-Free Conditional Predictive Inference,Rina Foygel Barber; Emmanuel J. Candes; Aaditya Ramdas; Ryan J. Tibshirani,2021,Information and Inference,conditional coverage limits,barber2021limits,existing,https://doi.org/10.1093/imaiai/iaaa017,local_pdf_text,34,13440,0,0,"Conditional coverage impossibility, approximate conditional validity, subgroup limits.",Exact distribution-free conditional coverage is impossible without assumptions or restrictions.,Theoretical impossibility/boundary results.,This is a claim-boundary source: it prevents overclaiming subgroup guarantees.,"Use theorem statements, not figures.","Boundary paper, not an implementation.",Keeps Mondrian coverage language honest.,Source/fairness coverage caveat.,CRPTO theory; agenda extendida CRPTO/tesis online/source caveats.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;conditional_coverage;claim_boundary
paper,Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,"Distribution-Free, Risk-Controlling Prediction Sets",Stephen Bates; Anastasios N. Angelopoulos; Lihua Lei; Jitendra Malik; Michael I. Jordan,2021,arXiv / risk-control foundation,risk-controlling prediction sets,bates2021rcps,existing,https://arxiv.org/abs/2101.02703,local_pdf_text,34,17464,23,1,"RCPS, set-valued prediction, expected loss control, black-box models.",Prediction sets can be calibrated to control a user-defined risk distribution-free.,Post-hoc calibration framework.,Provides the bridge from coverage to risk-control vocabulary.,Use algorithmic schematic as conceptual support only.,General prediction sets; no credit portfolio objective.,Core CRPTO theory lineage.,Decision-risk gate template.,CRPTO theory and related work.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,conformal;risk_control
paper,Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,Data-Driven Robust Optimization,Dimitris Bertsimas; Vishal Gupta; Nathan Kallus,2018,Mathematical Programming,data-driven robust optimization,bertsimas2018datadriven,needs_bib_if_cited,https://doi.org/10.1007/s10107-017-1125-8,local_pdf_text,53,23925,10,5,"Uncertainty sets learned from data, robustness guarantees, finite-sample feasibility.",Robust sets can be constructed data-driven rather than manually specified.,Optimization theory and computational experiments.,Supports the historical progression from ad-hoc RO to calibrated/data-driven uncertainty sets.,Useful as related-work table contrasting source of uncertainty sets.,Not conformal and not Lending Club-specific.,Background for why conformal sets are a natural next RO step.,Context only.,CRPTO related work if a longer RO paragraph is added.,context_crpto_related_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,robust_optimization
paper,Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,From Predictive to Prescriptive Analytics,Dimitris Bertsimas; Nathan Kallus,2020,Management Science,prescriptive analytics,bertsimas2020prescriptive,needs_bib_if_cited,https://doi.org/10.1287/mnsc.2018.3253,local_pdf_text,57,27603,12,0,"Prescriptive analytics, decision quality, predictive-to-prescriptive bridge.",Prediction alone is insufficient; decision policies should be evaluated by downstream outcomes.,Framework and empirical prescriptive methods.,"Useful framing for why CRPTO evaluates funded-set outcomes, not AUC only.",Related-work schematic only.,Not conformal and not a risk-control guarantee.,Strengthens introduction/positioning.,Supports governed decision-analytics framing.,CRPTO related work or thesis framing.,context_crpto_related_work,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,prescriptive_analytics;decision
paper,Bertsimas Sim 2004 - The Price of Robustness.pdf,paper/Bertsimas Sim 2004 - The Price of Robustness.pdf,The Price of Robustness,Dimitris Bertsimas; Melvyn Sim,2004,Operations Research,robust optimization,bertsimas2004,existing,https://doi.org/10.1287/opre.1030.0065,local_pdf_text,34,9963,13,5,"Budgeted uncertainty, protection level, tractable robust LP/IP, price of robustness.","Robustness trades objective value for protection in a tunable, tractable way.",Classical robust optimization formulation.,Use as the language ancestor for alpha -> Gamma_CP -> return trade-off.,Use price-of-robustness framing in CRPTO figures.,"Budget is chosen, not conformally calibrated.",Core RO foundation.,Tail/challenger context.,CRPTO theory and portfolio chapter.,promote_crpto_body,none_now,No run: literature integration only.,docs/research/papers_tesis_deep_audit_2026-06-06.md,Do not reopen a lane unless it changes a manuscript claim.,,,robust_optimization
