"asset_id","front","asset_type","source_kind","source_ref","source_path","asset_name","disposition","final_target","required_action","notes"
"A001","A_broad","manuscript","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Hardened broad official manuscript","HISTORY_ONLY","provenance","Recover sections selectively through this inventory","Never restore its headline numbers as active evidence"
"A002","A_broad","supplement","git","17811d8","paper/supplement_ijds.qmd","Hardened broad supplement","HISTORY_ONLY","provenance","Recover navigation and audit structures selectively","Old A3-A40 values depend on invalid design"
"A003","A_broad","section","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Decision-centered introduction framing","KEEP_REWRITE","body_intro","Rewrite around maturity shift and selected-set transport","Retain problem motivation not old contributions"
"A004","A_broad","section","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Four-family related-work map","KEEP_REWRITE","body_related_work","Update with censoring profit scoring selection-valid and decision-calibrated work","Remove literature-catalog prose"
"A005","A_broad","section","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Calibrated PD method exposition","KEEP_REWRITE","body_method","Align with final maturity-safe model and explicit score estimand","Do not call binary outcome bands PD confidence intervals"
"A006","A_broad","section","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Robust portfolio layer exposition","KEEP_REWRITE","body_method","Retain budget and constraint clarity with coherent payoff and monthly menus","Rename purpose concentration cap"
"A007","A_broad","theory","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Deterministic funded-set accounting inequality","KEEP_REWRITE","body_theory_and_supplement","Restate for binary outcome intervals and verify on fresh run","Distribution-free only in the deterministic algebraic sense"
"A008","A_broad","theory","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Gamma internalized and residual decomposition","KEEP_REWRITE","supplement_theory","Keep generic policy algebra only if used by final policy","Remove old selected values"
"A009","A_broad","theory","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Markov funded-set theorem","RETIRE","supplement_optional_note","Do not use as novelty or certificate","Assumes the selected-set validity it needs and is too weak"
"A010","A_broad","theory","git","17811d8","paper/supplement_ijds.qmd","Markov sharpness and cluster tightening propositions","RETIRE","none","Keep only as historical provenance","Not needed for the single final claim"
"A011","A_broad","design","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Temporal split exposition","KEEP_REWRITE","body_data_design","Replace old split with explicit label-availability and maturity timeline","Old 2018-2020 pool is invalid"
"A012","A_broad","design","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","External replication protocol","RECOMPUTE","body_or_supplement_external","Re-audit raw menus maturity payoff and timing or omit","Old frozen transfer does not share the final estimand"
"A013","A_broad","results","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Broad Lending Club results and frontier","HISTORY_ONLY","provenance","Do not copy any result","Resolved-only future-menu and objective mismatch"
"A014","A_broad","results","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","External economic results","HISTORY_ONLY","provenance","Recompute from audited external protocol before reuse","No active external claim"
"A015","A_broad","section","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Regret-auditability frontier narrative","RETIRE","none","Use a matched decision comparator instead","Counts of controls are not a decision metric"
"A016","A_broad","section","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Tail and distribution robustness narrative","HISTORY_ONLY","supplement_optional","Recompute only if directly relevant to final policy","Do not revive OCE CVaR or tail families as extra methods"
"A017","A_broad","section","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Managerial risk-payoff interpretation","KEEP_REWRITE","body_implications","Recover concise decision implications and reversals","Anchor every sentence to fresh monthly evidence"
"A018","A_broad","section","git","17811d8","paper/submission/CRPTO_ijds_submission.tex","Discussion and limitation structure","KEEP_REWRITE","body_limitations","Restore depth with corrected estimand and static-corpus disclosure","Remove certificate overclaim"
"A019","A_broad","supplement_structure","git","17811d8","paper/supplement_ijds.qmd","Coverage-validity ladder","KEEP_REWRITE","supplement_claim_boundary","Update marginal temporal selected-set and decision-risk rows","Useful reviewer navigation"
"A020","A_broad","supplement_structure","git","17811d8","paper/supplement_ijds.qmd","Reviewer claim checks","KEEP_REWRITE","supplement_claim_crosswalk","Rebuild against final claims and artifacts","Do not preserve old pass language"
"A021","A_broad","supplement_structure","git","17811d8","paper/supplement_ijds.qmd","Artifact lineage and reproducibility protocol","KEEP_REWRITE","supplement_reproducibility","Add implementation hashes clean-run receipt and DVC bundle","Strong IJDS-facing structure"
